Posts,User Names,User Links,Likes,Reblogs,Comments,Comment Links,Post Date,Post Time,Date in Datetime Format
:如果你有机会去欧洲，就一定不能错过哈尔施塔特。她是这世上最美的湖畔小镇，地处阿尔卑斯山和哈尔施塔特湖之间安谧的峡谷中，一个天使与魔鬼同居的小城，亦是一个去了就想不想离开的地方。,北京嘉悦假期国际旅行社有限公司,https://weibo.cn/jiayueguolv,0,0,0,https://weibo.cn/comment/ylVvEvEQu?uid=2628248331&rl=1#cmtfrm,2012-06-01,23:58:09,2012-06-01
:要不要开始同居新时代呢？,幸福UN你,https://weibo.cn/lovewithoutreason,0,0,8,https://weibo.cn/comment/ylVvxr7xg?uid=2280710997&rl=1#cmtfrm,2012-06-01,23:57:49,2012-06-01
:春天也走了→→夏天快到了→→小鸟恋爱了→→蚂蚁同居了→→苍蝇怀孕了→→蚊子流产了 →→蝴蝶离婚了→→毛虫改嫁了→→ 青蛙生崽了→→你还在等什么？我们恋爱吧！最后，转给喜欢的人吧！（喜欢就关注@品牌正品折扣店XGP1982）,玉茗薚,https://weibo.cn/tovm,0,0,0,https://weibo.cn/comment/ylVtmFDpW?uid=1745912004&rl=1#cmtfrm,2012-06-01,23:52:30,2012-06-01
:女人是該同居好還是結婚好？或者一個人好還是裝懵懂好？這是今天和同事討論一整天卻沒有結論的問題！,Qeen萱,https://weibo.cn/u/2808948064,0,0,0,https://weibo.cn/comment/ylVtmluZv?uid=2808948064&rl=1#cmtfrm,2012-06-01,23:52:29,2012-06-01
:同居的姑娘今天搬走了，给阿姐留下了一包面巾纸一瓶油一个蚊帐以及一堆垃圾，虽然我还是很鄙视她，但是看在我这辈子都不用再跟她见面的份上，我就忍一下吧，但愿下一个住进来的会是一个普通的姑娘，或者干脆让我独居到明年吧。,黄闲闲,https://weibo.cn/lilly0207,0,0,7,https://weibo.cn/comment/ylVrxdF47?uid=1663677360&rl=1#cmtfrm,2012-06-01,23:47:59,2012-06-01
: @花道_章 今天是他们节日，让他们同居一晚。她们别提多开心。,魘魘魘free,https://weibo.cn/u/2125900481,0,0,13,https://weibo.cn/comment/ylVpCpUGe?uid=2125900481&rl=1#cmtfrm,2012-06-01,23:43:16,2012-06-01
:【 汉字的智慧和玄机 】 北京，就是背景；欲望，就是渔网；老公，就是劳工；晚上，就是玩赏；云雨，就是孕育；升职，就是升值；同居，就是痛聚；男人，就是难人；理想，就是离乡；誓言，就是失言；希望，就是稀望；信仰，就是心痒；缘分，就是怨愤；失去，就是拾取；清醒，就是庆幸。,肥小乐2011,https://weibo.cn/u/2340568424,0,0,0,https://weibo.cn/comment/ylVkwgTbd?uid=2340568424&rl=1#cmtfrm,2012-06-01,23:30:42,2012-06-01
:好可爱~才几个月的小猫咪~,Lyf_w雅,https://weibo.cn/u/1848148335,0,0,25,https://weibo.cn/comment/ylViw8Nc7?uid=1848148335&rl=1#cmtfrm,2012-06-01,23:25:44,2012-06-01
:@糯米琪琪 卖场今天发的那个同居同落的下载链接给我下啊，我懒得开QQ了,Natalie324evoL,https://weibo.cn/u/1319419081,0,0,5,https://weibo.cn/comment/ylVhOqbTG?uid=1319419081&rl=1#cmtfrm,2012-06-01,23:23:58,2012-06-01
:我说：没结婚的像结婚的一样同居，结婚的像没结婚的一样分居；动物像人一样穿衣服，人像动物一样露着肉；小孩像大人一样成熟，大人像小孩一样幻稚；女人像男人一样爷们，男人像女人一样娘们；没钱的像有钱的一样装富，有钱的像没钱的一样装穷；情人像夫人一样四处招摇，夫人像情人一样深居简出。,步步晶心smile,https://weibo.cn/u/2474804434,0,0,0,https://weibo.cn/comment/ylVhisp3f?uid=2474804434&rl=1#cmtfrm,2012-06-01,23:22:46,2012-06-01
:我已下载了《与校草同居的日子》很好看，和好朋友一下分享下http://t.cn/hei2HB,mobiledu2294835261,https://weibo.cn/u/2294835261,0,0,0,https://weibo.cn/comment/ylVfRf4U3?uid=2294835261&rl=1#cmtfrm,2012-06-01,23:19:13,2012-06-01
:这样的理论用来指导婚前同居最好不过。婚前同居的话，上述理论中男女之间就成为一对矛盾，解决矛盾的方式除了忍耐就是性爱。性爱害怕怀孕而无法尽兴，还容易对女性身体造成损害；忍耐的话又会对大多数情况下对男性身心不利。当真苦过弟弟。所谓孤男寡女共处一室，女仔实有损失。其实是必有一方有损失。,小吉小雲吉,https://weibo.cn/u/1736449772,0,0,5,https://weibo.cn/comment/ylVesn3Y2?uid=1736449772&rl=1#cmtfrm,2012-06-01,23:15:43,2012-06-01
